Timestamp (s),ArmDisarm,DesiredSpeed (m/s),LongitudinalSpeed (m/s),LateralSpeed (m/s),MeasuredSpeed (m/s),ObstacleDistance (m),Steering (rad),SystemCmdSpeed (m/s),SystemCmdSteering (rad),YawAngle (rad),YawRate (rad/s),Throttle (%),DataType
0.326667,0,0,0,0,0,2.24746,-0.00269136,0,-0.00269136,0,0,0,1
0.328333,0,0,0,0,0,2.24746,-0.00269136,0,-0.00269136,0,0,0,1
0.33,0,0,0,0,0,2.25001,-0.00269136,0,-0.00269136,0,0,0,1
0.331667,0,0,0,0,0,2.25001,-0.00269136,0,-0.00269136,0,0,0,1
0.333333,0,0,0,0,0,2.25001,-0.00269136,0,-0.00269136,0,0,0,1
0.335,0,0,0,0,0,2.25001,-0.00269136,0,-0.00269136,0,0,0,1
0.336667,0,0,0,0,0,2.25001,-0.00269136,0,-0.00269136,0,0,0,1
0.338333,0,0,0,0,0,2.25001,-0.00269136,0,-0.00269136,0,0,0,1
0.34,0,0,0,0,0,2.36655,-0.00269136,0,-0.00269136,0,0,0,1
0.341667,0,0,0,0,0,2.36655,-0.00192877,0,-0.00192877,0,0,0,1
0.343333,0,0,0,0,0,2.36655,-0.00192877,0,-0.00192877,0,0,0,1
0.345,0,0,0,0,0,2.36655,-0.00192877,0,-0.00192877,0,0,0,1
0.346667,0,0,0,0,0,2.36655,-0.00192877,0,-0.00192877,0,0,0,1
0.348333,0,0,0,0,0,2.36655,-0.00192877,0,-0.00192877,0,0,0,1
0.35,0,0,0,0,0,2.22921,-0.00192877,0,-0.00192877,0,0,0,1
0.351667,0,0,0,0,0,2.22921,-0.00192877,0,-0.00192877,0,0,0,1
0.353333,0,0,0,0,0,2.22921,-0.00192877,0,-0.00192877,0,0,0,1
0.355,0,0,0,0,0,2.22921,-0.00192877,0,-0.00192877,0,0,0,1
0.356667,0,0,0,0,0,2.22921,-0.00192877,0,-0.00192877,0,0,0,1
0.358333,0,0,0,0,0,2.22921,-0.0022971,0,-0.0022971,0,0,0,1
0.36,0,0,0,0,0,2.32946,-0.0022971,0,-0.0022971,0,0,0,1
0.361667,0,0,0,0,0,2.32946,-0.0022971,0,-0.0022971,0,0,0,1
0.363333,0,0,0,0,0,2.32946,-0.0022971,0,-0.0022971,0,0,0,1
0.365,0,0,0,0,0,2.32946,-0.0022971,0,-0.0022971,0,0,0,1
0.366667,0,0,0,0,0,2.32946,-0.0022971,0,-0.0022971,0,0,0,1
0.368333,0,0,0,0,0,2.32946,-0.0022971,0,-0.0022971,0,0,0,1
0.37,0,0,0,0,0,2.27364,-0.0022971,0,-0.0022971,0,0,0,1
0.371667,0,0,0,0,0,2.27364,-0.0022971,0,-0.0022971,0,0,0,1
0.373333,0,0,0,0,0,2.27364,-0.0022971,0,-0.0022971,0,0,0,1
0.375,0,0,0,0,0,2.27364,-0.00228122,0,-0.00228122,0,0,0,1
0.376667,0,0,0,0,0,2.27364,-0.00228122,0,-0.00228122,0,0,0,1
0.378333,0,0,0,0,0,2.27364,-0.00228122,0,-0.00228122,0,0,0,1
0.38,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
